company_id,primary_contact,phone,username,company
C201,Aarav Patel,98765-10001,aarav_p,TechNova
C202,Priya Shah,9988776655,priyashah,DataWorks
C203,Amit Patil,9876530003,amitpatil,CloudPeak
C204,Sneha Desai,9812345678,snehadesai,FinEdge
C205,Arjun Mehta,9001122334,arjunmehta,CodeCraft
C206,Neha Joshi,9765432109,nehajoshi,InsightLabs
C207,Vikram Kulkarni,9898989898,vikram.k,TechNova
C208,Ananya Rao,9090909090,ananyarao,DataWorks
C209,Rohan Gupta,9876501234,rohangupta,CloudPeak
C210,Kavya Iyer,9823456710,kavya.iyer,FinEdge
