member_id,email_address,username,city,account_status
M1042,rahul.sharma@gmail.com,rahulsharma,Mumbai,Active
M1043,priya.shah@gmail.com,priyashah,Pune,Active
M1044,amit.patil@gmail.com,amitpatil,Nashik,Active
M1045,sneha.desai@gmail.com,snehadesai,Mumbai,Active
M1046,arjun.mehta@gmail.com,arjunmehta,Thane,Active
M1047,neha.joshi@gmail.com,nehajoshi,Pune,Active
M1048,vikram.k@gmail.com,vikram.k,Nagpur,Active
M1049,ananya.rao@gmail.com,ananyarao,Bengaluru,Active
M1050,rohan.gupta@gmail.com,rohangupta,Mumbai,Active
M1051,kavya.iyer@gmail.com,kavya.iyer,Pune,Active
