member_id,email,username,loyalty_tier
M2876,michaelo443@rewardsportal.org,michaelo443,Silver
M2745,jamesmoo320@rewardsportal.org,jamesmoo320,Bronze
M2980,annecham180@rewardsportal.org,annecham180,Bronze
M2361,ryanhard712@rewardsportal.org,ryanhard712,Silver
M2167,jennifer92@rewardsportal.org,jennifer92,Bronze
M2949,benjamin531@rewardsportal.org,benjamin531,Silver
M2133,chadsmit542@rewardsportal.org,chadsmit542,Silver
M2809,kimberly451@rewardsportal.org,kimberly451,Silver
M2983,staceyra889@rewardsportal.org,staceyra889,Bronze
M2683,abigailc596@rewardsportal.org,abigailc596,Bronze
M2538,michaelj852@rewardsportal.org,michaelj852,Silver
M2898,codygarr634@rewardsportal.org,codygarr634,Bronze
M2534,shanecal771@rewardsportal.org,shanecal771,Gold
M2920,jamesmil111@rewardsportal.org,jamesmil111,Gold
M2929,melindam730@rewardsportal.org,melindam730,Bronze
M2005,sarahpar527@rewardsportal.org,sarahpar527,Bronze
M2285,amyblack205@rewardsportal.org,amyblack205,Silver
M2221,michaelo362@rewardsportal.org,michaelo362,Platinum
M2710,jennifer997@rewardsportal.org,jennifer997,Gold
M2321,maryadam716@rewardsportal.org,maryadam716,Silver
M3072,michelle191@rewardsportal.org,michelle191,Bronze
M2965,coreywal610@rewardsportal.org,coreywal610,Gold
M2962,staceype560@rewardsportal.org,staceype560,Bronze
M2860,anthonyc654@rewardsportal.org,anthonyc654,Bronze
M2925,brendaro105@rewardsportal.org,brendaro105,Bronze
M2559,maryboyd883@rewardsportal.org,maryboyd883,Silver
M2350,mariajoh660@rewardsportal.org,mariajoh660,Platinum
M3048,kellylee173@rewardsportal.org,kellylee173,Bronze
M2482,mitchell799@rewardsportal.org,mitchell799,Gold
M2751,harrymar535@rewardsportal.org,harrymar535,Silver
M2872,brandonp614@rewardsportal.org,brandonp614,Silver
M2214,amymanni728@rewardsportal.org,amymanni728,Silver
M2931,patricia706@rewardsportal.org,patricia706,Bronze
M2757,jameslee210@rewardsportal.org,jameslee210,Bronze
M2243,timothyw592@rewardsportal.org,timothyw592,Bronze
M2111,margaret140@rewardsportal.org,margaret140,Bronze
M2869,codyhoov635@rewardsportal.org,codyhoov635,Silver
M2144,conniejo486@rewardsportal.org,conniejo486,Bronze
M2332,brentroj653@rewardsportal.org,brentroj653,Platinum
M2355,raymondt982@rewardsportal.org,raymondt982,Silver
M2046,williedu954@rewardsportal.org,williedu954,Platinum
M2069,elizabet357@rewardsportal.org,elizabet357,Bronze
M2634,mariagar461@rewardsportal.org,mariagar461,Bronze
M3044,michaelw339@rewardsportal.org,michaelw339,Bronze
M2797,shaunpet247@rewardsportal.org,shaunpet247,Bronze
M2637,russellm754@rewardsportal.org,russellm754,Silver
